,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442,0.9632034632034633
Decision Tree,0.7704918032786885,0.71875,0.8214285714285714,0.7666666666666667,0.7743506493506493
Random Forest,0.9016393442622951,0.8666666666666667,0.9285714285714286,0.896551724137931,0.948051948051948
SVM,0.9344262295081968,0.9,0.9642857142857143,0.9310344827586207,0.9761904761904762
